"ID","供给类型","名称","主要工作目标","相关工作目标","原生分类","行业","角色","映射状态","映射依据"
"ai-smart-fill","AI 应用","AI 智能填单","数据与自动化","内容与知识、客户与运营","信息提取、字段回填","专业服务、销售与零售","产品经理、项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"ai-test-cases","AI 应用","智能测试用例生成","质量与风控","研发与交付、数据与自动化","测试管理、质量保障","互联网与软件","产品经理、研发与测试","已人工映射","依据供给的核心任务人工映射"
"ai-custom-instruction","AI 应用","自定义指令","内容与知识","研发与交付、数据与自动化","自定义提示词、字段生成","互联网与软件、专业服务、内容与文娱","产品经理、研发与测试、项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"ai-summary","AI 应用","内容总结","内容与知识","客户与运营、协作与执行","内容处理、信息提炼","专业服务、内容与文娱、销售与零售","产品经理、项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"ai-doc-gen","AI 应用","AI 生成云文档","内容与知识","研发与交付、数据与自动化","文档生成、产品研发","互联网与软件、专业服务、内容与文娱","产品经理、研发与测试、项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"ai-insight","AI 应用","AI 智能洞察","数据与自动化","规划与决策、质量与风控","项目分析、智能洞察","专业服务","管理者、项目经理","已人工映射","依据供给的核心任务人工映射"
"ai-smart-score","AI 应用","智能打分","质量与风控","客户与运营、内容与知识","量化评估、AI 字段","专业服务、内容与文娱、销售与零售","管理者、产品经理、项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"ai-classify","AI 应用","分类打标","数据与自动化","客户与运营、内容与知识","自动分类、AI 字段","互联网与软件、内容与文娱、销售与零售","产品经理、研发与测试、销售与运营","已人工映射","依据供给的核心任务人工映射"
"ai-key-extract","AI 应用","关键内容提取","内容与知识","客户与运营、数据与自动化","信息提取、AI 字段","专业服务、内容与文娱、销售与零售","产品经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"ai-translate","AI 应用","智能翻译","内容与知识","协作与执行、客户与运营","多语言、AI 字段","专业服务、内容与文娱、销售与零售","产品经理、研发与测试、项目经理、销售与运营、IT与管理员","已人工映射","依据供给的核心任务人工映射"
"ai-agent-connector","AI 应用","智能体连接器","数据与自动化","协作与执行","智能体、流程自动化","专业服务","项目经理、IT与管理员","已人工映射","依据供给的核心任务人工映射"
"ai-meeting-analysis","AI 应用","智能会议分析","内容与知识","数据与自动化、协作与执行","会议协同、任务生成","专业服务、内容与文娱","管理者、项目经理、销售与运营、IT与管理员","已人工映射","依据供给的核心任务人工映射"
"plugin-7493033686905323522","插件","变更管理","协作与执行","规划与决策","审批管理","专业服务","项目经理","待运营复核","依据名称、描述和原生分类匹配：collaboration、planning"
"plugin-7493161559989010435","插件","文档创建","内容与知识","","文档管理、其他","通用","全员","待运营复核","依据名称、描述和原生分类匹配：knowledge"
"plugin-7496892502050439170","插件","GitLab","研发与交付","","代码托管、发版管理","互联网与软件、专业服务","研发与测试、项目经理","待运营复核","依据名称、描述和原生分类匹配：development"
"plugin-7494581293885538305","插件","测试管理","研发与交付","质量与风控","测试工具、质量/保障","互联网与软件","研发与测试","待运营复核","依据名称、描述和原生分类匹配：development、risk"
"plugin-7493162471168081924","插件","工作进展","规划与决策","","效率工具","专业服务","产品经理、项目经理","待运营复核","依据名称、描述和原生分类匹配：默认协作类"
"plugin-7493164595360628764","插件","工时登记","规划与决策","","其他","专业服务","项目经理","待运营复核","依据名称、描述和原生分类匹配：planning"
"plugin-7291551816274231299","插件","同步多维表格(智书企飞)","数据与自动化","内容与知识、协作与执行","文档管理、数据图表","专业服务","项目经理、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：automation、knowledge、collaboration"
"plugin-7475272947603636226","插件","知识管理","内容与知识","协作与执行、数据与自动化","文档管理","通用","IT与管理员","待运营复核","依据名称、描述和原生分类匹配：knowledge、collaboration、automation"
"plugin-7493374830327922689","插件","文档评论同步","内容与知识","协作与执行、数据与自动化","文档管理","专业服务","项目经理、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：knowledge、collaboration、automation"
"plugin-7493372490601988124","插件","公告板💡","规划与决策","","画图工具、设计工具、其他","通用","全员","待运营复核","依据名称、描述和原生分类匹配：默认协作类"
"plugin-7493370287444770818","插件","交付物汇总","研发与交付","","其他、效率工具","专业服务","项目经理","待运营复核","依据名称、描述和原生分类匹配：development"
"plugin-7486331508299743233","插件","会议集成","内容与知识","","效率工具","通用","全员","待运营复核","依据名称、描述和原生分类匹配：knowledge"
"plugin-7429178080056524828","插件","排版打印","内容与知识","数据与自动化","文档管理、自动化、效率工具","专业服务、内容与文娱","项目经理、销售与运营、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：knowledge、automation"
"plugin-7493372998018269185","插件","飞书项目 DevOps","研发与交付","协作与执行、质量与风控","发版管理、DevOps、效率工具","互联网与软件、专业服务","研发与测试、项目经理","待运营复核","依据名称、描述和原生分类匹配：development、collaboration、risk"
"plugin-7308780846763294748","插件","小精灵建单助手","协作与执行","数据与自动化","消息通知、自动化","通用","IT与管理员","待运营复核","依据名称、描述和原生分类匹配：collaboration、automation"
"plugin-7494116904639102995","插件","节点批量驳回","数据与自动化","","效率工具","通用","全员","待运营复核","依据名称、描述和原生分类匹配：automation"
"plugin-7514211650670051332","插件","群助手","协作与执行","","其他、效率工具","通用","全员","待运营复核","依据名称、描述和原生分类匹配：collaboration"
"plugin-7494119823416164353","插件","SVN","研发与交付","内容与知识","文档管理、代码托管","互联网与软件、专业服务","产品经理、研发与测试、项目经理","待运营复核","依据名称、描述和原生分类匹配：development、knowledge"
"plugin-7506741638907559938","插件","时间轴看板","规划与决策","","效率工具","通用","全员","待运营复核","依据名称、描述和原生分类匹配：默认协作类"
"plugin-7494289155388801052","插件","CRM 小助手","客户与运营","","其他","销售与零售","全员","待运营复核","依据名称、描述和原生分类匹配：customer"
"plugin-7493374181044699140","插件","GitHub 集成","研发与交付","协作与执行","发版管理、任务管理","互联网与软件、专业服务","研发与测试、项目经理","待运营复核","依据名称、描述和原生分类匹配：development、collaboration"
"plugin-7586522540474895581","插件","飞书项目开放能力官方示例","客户与运营","","其他","专业服务、销售与零售","项目经理、销售与运营","待运营复核","依据名称、描述和原生分类匹配：customer"
"plugin-7493215771825340435","插件","Gerrit 集成","研发与交付","","代码托管、DevOps","互联网与软件、专业服务","研发与测试、项目经理","待运营复核","依据名称、描述和原生分类匹配：development"
"plugin-7493375647434260483","插件","批量助手","数据与自动化","","其他、效率工具","通用","全员","待运营复核","依据名称、描述和原生分类匹配：automation"
"plugin-7476034710164963356","插件","字段规范助手（可象团队）","数据与自动化","质量与风控","自动化、效率工具、质量/保障","通用","IT与管理员","待运营复核","依据名称、描述和原生分类匹配：automation、risk"
"plugin-7560596648356954114","插件","多维表格同步飞书项目","数据与自动化","内容与知识、协作与执行","文档管理、自动化、效率工具","专业服务","项目经理、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：automation、knowledge、collaboration"
"plugin-7447071193854951426","插件","同步飞书项目（可象团队）","数据与自动化","协作与执行","数据图表、自动化、效率工具","专业服务","项目经理、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：automation、collaboration"
"plugin-7621475222075591617","插件","ITSM·工单通","协作与执行","","任务管理、工单管理、效率工具","通用","项目经理","待运营复核","依据名称、描述和原生分类匹配：collaboration"
