序号,分类,子类型,场景名称(标题),功能名(featureName),描述(desc),标签(tag),行业(industry),角色(role),meta,图片URL(image)
1,AI 应用,AI 操作,客户信息一键补全,AI 智能填单,需求评审后，AI 自动从会议纪要、邮件中提取关键信息，一键回填到飞书项目字段，无需手动逐条录入。,AI 应用,互联网,产品经理,信息提取 · 自动回填,https://aka.doubaocdn.com/s/IMKcg667UN
2,AI 应用,AI 操作,会议纪要自动转任务,AI 智能会议分析,需求评审会结束后，AI 自动提取所有待办项和决策要点，一键生成飞书项目子任务并关联到对应工作项，从讨论到执行无缝衔接。,AI 应用,互联网,项目经理,会议分析 · 自动建单,https://aka.doubaocdn.com/s/cqI7oo1jGy
3,AI 应用,AI 操作,外部工单自动建单,AI 工单识别,客服系统、邮件、飞书群中的用户反馈，AI 自动识别并创建为标准工单，无需人工逐个录入，大幅提升工单处理效率。,AI 应用,医疗,运营,工单识别 · 自动建单,https://aka.doubaocdn.com/s/OJkgxeTgKd
4,AI 应用,AI 操作,邮件自动生成工作项,AI 邮件解析,客户或合作方通过邮件提交的需求，AI 自动解析邮件内容并生成飞书项目工作项，避免遗漏重要邮件中的待办事项。,AI 应用,互联网,产品经理,邮件解析 · 自动建单,https://aka.doubaocdn.com/s/bv0qSfwVgG
5,AI 应用,AI 操作,合同关键条款自动提取,AI 文档解析,上传合同文件后，AI 自动提取金额、期限、违约责任等关键条款，结构化录入到工作项字段，减少人工核对时间。,AI 应用,金融,销售,合同解析 · 条款提取,https://aka.doubaocdn.com/s/DJabXgkph8
6,AI 应用,AI 节点,反馈自动分类路由,AI 自动分类,客服收到用户反馈后，AI 节点自动判断是 Bug、需求还是咨询，秒级路由到对应模块，减少人工分类和转派时间。,AI 应用,游戏,运营,语义分类 · 自动路由,https://aka.doubaocdn.com/s/OJkgxeTgKd
7,AI 应用,AI 节点,需求智能派发,AI 智能分配,新需求进入开发阶段时，AI 自动匹配最合适的开发人员，兼顾技能匹配度和当前工作负载，避免忙闲不均，减少人工派单时间。,AI 应用,互联网,项目经理,技能匹配 · 负载均衡,https://aka.doubaocdn.com/s/nvmVJKYDTY
8,AI 应用,AI 节点,缺陷自动分级定责,AI 缺陷分级,测试提交 Bug 后，AI 根据严重程度、影响范围和修复成本自动分级，并推荐对应的处理人，让缺陷管理更有条理。,AI 应用,游戏,测试,严重度分级 · 自动指派,https://aka.doubaocdn.com/s/CvvUzmrizE
9,AI 应用,AI 节点,客服工单自动分流,AI 工单分流,电商平台的客服工单根据产品线、问题类型和用户等级自动分流到对应处理组，SLA 超时自动升级，确保每个工单都被及时处理。,AI 应用,零售,运营,多级分流 · SLA 管控,https://aka.doubaocdn.com/s/RAu5lPDwZP
10,AI 应用,AI 节点,交付质量自动检查,AI 质量检查,提测节点中，AI 自动检查代码是否关联了需求、测试用例是否覆盖了验收标准，不符合的自动驳回并给出原因，让质量门禁真正生效。,AI 应用,互联网,测试,自动检查 · 质量门禁,https://aka.doubaocdn.com/s/CvvUzmrizE
11,AI 应用,AI 节点,需求评审合规检查,AI 合规审计,需求提交审批前，AI 自动检查是否满足了合规要求：是否完成了风险评估、是否获得了法务审批、是否标注了数据安全等级。,AI 应用,金融,高管,合规检查 · 风险评估,https://aka.doubaocdn.com/s/DJabXgkph8
12,AI 应用,AI 节点,代码提交合规检查,AI 代码审查,代码提交时，AI 自动检查是否关联了工作项、是否通过了 Code Review、是否包含必要的测试，不合规的提交自动拦截并通知开发者。,AI 应用,汽车,研发,代码审查 · 合规拦截,https://aka.doubaocdn.com/s/a3S9pUgsCz
13,AI 应用,AI 节点,设计稿规范自动检查,AI 设计审查,设计师提交设计稿后，AI 自动检查组件库一致性、间距规范、色彩规范等，不符合规范的自动标注并给出修改建议，让设计评审更高效。,AI 应用,消费电子,设计,设计规范 · 组件一致性,https://aka.doubaocdn.com/s/bv0qSfwVgG
14,AI 应用,AI 操作,项目健康度自动诊断,AI 智能洞察,每周复盘前，一键生成项目健康度报告，自动分析进度、风险分布、人力负载，标注风险项和阻塞点，让管理者从数据中快速看到结论。,AI 应用,互联网,高管,数据洞察 · 自动报告,https://aka.doubaocdn.com/s/nvmVJKYDTY
15,AI 应用,AI 操作,迭代效能分析,AI 效能分析,每个迭代结束后，AI 自动分析交付速度、缺陷密度、需求变更率等效能指标，生成趋势报告并与历史数据对比，帮助团队持续改进。,AI 应用,消费电子,项目经理,效能分析 · 趋势对比,https://aka.doubaocdn.com/s/nvmVJKYDTY
16,AI 应用,AI 节点,需求变更影响评估,AI 影响分析,当需求发生变更时，AI 自动分析影响的上下游模块、关联任务和依赖关系，输出影响范围评估报告，帮助 PM 和研发快速决策。,AI 应用,汽车,产品经理,变更影响 · 依赖分析,https://aka.doubaocdn.com/s/nvmVJKYDTY
17,AI 应用,AI 节点,供应链风险预警,AI 风险预警,供应链关键节点出现异常时（如供应商延期、原材料涨价），AI 自动预警并评估对项目交付的影响，推荐替代方案，让管理者提前应对。,AI 应用,制造,高管,供应链 · 风险预警,https://aka.doubaocdn.com/s/Gkf92x6XVm
18,AI 应用,AI 操作,客户满意度趋势分析,AI 情感分析,AI 定期分析客户反馈中的情感倾向，识别满意度下降趋势并预警，帮助客户成功团队提前介入，降低客户流失风险。,AI 应用,金融,运营,情感分析 · 流失预警,https://aka.doubaocdn.com/s/OJkgxeTgKd
19,AI 应用,AI 操作,周报/月报自动生成,AI 报告生成,每周五，AI 自动汇总本周所有项目的进展、风险和关键决策，生成结构化周报，项目经理只需确认后即可发送，告别手动统计。,AI 应用,教育,项目经理,报告生成 · 自动汇总,https://aka.doubaocdn.com/s/bv0qSfwVgG
20,AI 应用,AI 操作,发布说明自动起草,AI 发布说明,版本发布前，AI 根据本版本的需求、缺陷和变更记录自动生成 Release Notes，包含功能清单、修复列表和已知问题，研发只需微调即可发布。,AI 应用,消费电子,研发,发布说明 · 自动生成,https://aka.doubaocdn.com/s/bv0qSfwVgG
21,AI 应用,AI 操作,项目复盘报告,AI 复盘分析,项目结束后，AI 自动分析全流程数据，生成复盘报告：亮点、问题、改进建议和行动项，让团队从每个项目中持续学习。,AI 应用,能源,项目经理,复盘分析 · 持续改进,https://aka.doubaocdn.com/s/RAu5lPDwZP
22,AI 应用,AI 操作,管理层汇报摘要,AI 摘要生成,月度经营会前，AI 从各项目空间中提取关键数据，生成一页纸的管理层汇报摘要：核心指标、重大风险、里程碑达成情况，让管理者快速掌握全局。,AI 应用,金融,高管,摘要生成 · 一页纸汇报,https://aka.doubaocdn.com/s/RAu5lPDwZP
23,AI 应用,AI 操作,项目拆解与排期,AI 项目规划,立项后，AI 根据历史项目数据和行业模板，自动拆解出任务清单、推荐排期和关键里程碑，项目经理只需微调即可启动，让项目规划从经验驱动变为数据驱动。,AI 应用,互联网,项目经理,项目拆解 · 智能排期,https://aka.doubaocdn.com/s/nvmVJKYDTY
24,AI 应用,AI 操作,工作流瓶颈诊断,AI 流程优化,AI 定期分析工作流中各节点的停留时间，识别瓶颈节点和等待浪费，推荐流程优化方案，让交付管道持续提速。,AI 应用,制造,项目经理,瓶颈诊断 · 流程优化,https://aka.doubaocdn.com/s/nvmVJKYDTY
25,AI 应用,AI 操作,OKR 制定与追踪,AI 目标管理,季度初，AI 根据公司战略和历史 OKR 数据推荐目标与关键结果，季度中自动追踪进展并在偏离时预警，让目标管理不再流于形式。,AI 应用,教育,高管,OKR · 目标追踪,https://aka.doubaocdn.com/s/Rg1eTtTPwR
26,AI 应用,AI 节点,资源负载均衡,AI 资源调度,AI 实时分析团队成员的当前任务负载和可用工时，在新任务分配时推荐最合适的人选，避免部分人超负荷而其他人空转。,AI 应用,医疗,项目经理,资源调度 · 负载均衡,https://aka.doubaocdn.com/s/nvmVJKYDTY
27,AI 应用,AI 操作,技术选型建议,AI 技术评估,技术方案评审时，AI 根据项目需求、团队技术栈和行业趋势，推荐技术选型方案并评估风险，帮助技术负责人做出更明智的决策。,AI 应用,能源,研发,技术评估 · 选型推荐,https://aka.doubaocdn.com/s/bv0qSfwVgG
28,AI 应用,AI 操作,测试用例自动生成,AI 测试生成,需求进入测试阶段时，AI 根据需求描述和验收标准自动生成测试用例，覆盖边界条件和异常场景，测试工程师只需补充特殊场景即可开始执行。,AI 应用,互联网,测试,测试用例 · 覆盖率,https://aka.doubaocdn.com/s/CvvUzmrizE
29,AI 应用,AI 操作,缺陷根因分析,AI 根因分析,AI 对历史缺陷数据进行聚类分析，识别高频缺陷模块、共性问题根因和易出错的环节，帮助团队从源头减少缺陷，提升交付质量。,AI 应用,游戏,测试,根因分析 · 缺陷聚类,https://aka.doubaocdn.com/s/CvvUzmrizE
